datetime,temp,humidity,conditions
2025-03-14,27.5,55.1,Clear
2025-03-15,28.6,50.7,Clear
2025-03-16,27.5,52.9,Partially cloudy
2025-03-17,28.9,39.4,Partially cloudy
2025-03-18,26.7,32.4,Clear
2025-03-19,26.1,35.6,Clear
2025-03-20,25.4,53.7,Partially cloudy
2025-03-21,25.1,67.1,Partially cloudy
2025-03-22,25.5,52.5,Partially cloudy
2025-03-23,25.6,47.7,Partially cloudy
2025-03-24,27.5,49.6,Clear
2025-03-25,27.7,41.6,Clear
2025-03-26,28.3,44.6,Clear
2025-03-27,29.8,39.4,Clear
2025-03-28,31.1,29.5,Clear
2025-03-29,29.2,24.1,Clear
2025-03-30,27.8,21.5,Clear
2025-03-31,28,28.1,Clear
2025-04-01,29.4,22.5,Clear
2025-04-02,28.7,27.3,Partially cloudy
2025-04-03,29.6,28.1,Partially cloudy
2025-04-04,30.1,40.3,Partially cloudy
2025-04-05,30.7,37.7,Clear
2025-04-06,30.6,41.3,Clear
2025-04-07,30.4,61.7,Clear
2025-04-08,31.1,57.1,Clear
2025-04-09,30.2,61.7,"Rain, Partially cloudy"
2025-04-10,26,74.9,"Rain, Partially cloudy"
2025-04-11,26.3,70.3,Partially cloudy
2025-04-12,29,69,Partially cloudy
2025-04-13,28,62,Partially cloudy
2025-04-14,27,72.3,"Rain, Partially cloudy"
2025-04-15,28.1,62,Partially cloudy
2025-04-16,30.1,58.8,Clear
2025-04-17,30.9,60.8,Partially cloudy
2025-04-18,26.3,75.2,"Rain, Partially cloudy"
2025-04-19,28.7,72.6,"Rain, Partially cloudy"
2025-04-20,31.7,64.9,Clear
2025-04-21,34.1,64,Clear
2025-04-22,34.4,54.3,Clear
2025-04-23,34.9,16.6,Clear
2025-04-24,33.4,18.4,Clear
2025-04-25,33.5,24.3,Clear
2025-04-26,33.6,26.5,Partially cloudy
2025-04-27,30,53,"Rain, Partially cloudy"
2025-04-28,25.9,68.3,"Rain, Partially cloudy"
2025-04-29,26.7,73.6,"Rain, Partially cloudy"
2025-04-30,28.7,64.7,"Rain, Partially cloudy"
2025-05-01,26.2,72.4,"Rain, Partially cloudy"
2025-05-02,28,59.4,Clear
2025-05-03,31.3,53.3,Partially cloudy
2025-05-04,29.8,57.1,Partially cloudy
2025-05-05,30.4,61.1,"Rain, Partially cloudy"
2025-05-06,27.1,79.1,"Rain, Partially cloudy"
2025-05-07,30.5,65.1,Clear
2025-05-08,32.5,48.4,"Rain, Partially cloudy"
2025-05-09,33.3,44.1,Partially cloudy
2025-05-10,34.4,41.3,Clear
2025-05-11,35.3,39.3,Partially cloudy
2025-05-12,33.7,56.2,Partially cloudy
2025-05-13,32.3,65,Clear
2025-05-14,34.4,56.4,Clear
2025-05-15,33.8,62.6,Clear
2025-05-16,32.2,65.9,Clear
2025-05-17,30.7,65,Clear
2025-05-18,30,67.6,Partially cloudy
2025-05-19,29.4,79.3,Partially cloudy
2025-05-20,30.7,74,Partially cloudy
2025-05-21,30.1,69.6,Partially cloudy
2025-05-22,30.3,65.7,Partially cloudy
2025-05-23,31.2,64.7,Partially cloudy
2025-05-24,30.2,70.7,"Rain, Partially cloudy"
2025-05-25,31,69,Partially cloudy
2025-05-26,30.4,74.6,Partially cloudy
2025-05-27,31.2,71.3,Partially cloudy
2025-05-28,32.9,64.4,"Rain, Partially cloudy"
2025-05-29,33.1,60.5,Partially cloudy
2025-05-30,33.1,59.4,Partially cloudy
2025-05-31,33.7,59.3,"Rain, Partially cloudy"
2025-06-01,33.3,55.6,"Rain, Partially cloudy"
2025-06-02,33.3,48.2,Partially cloudy
2025-06-03,32.1,50.8,Partially cloudy
2025-06-04,29,71.4,"Rain, Partially cloudy"
2025-06-05,30.9,63.3,Partially cloudy
2025-06-06,31,55.4,"Rain, Partially cloudy"
2025-06-07,32.5,54.2,Clear
2025-06-08,34.6,46.6,Clear
2025-06-09,35.3,48.3,Clear
2025-06-10,35.4,47.4,Clear
2025-06-11,35.8,49.8,Partially cloudy
2025-06-12,35.6,52.2,Partially cloudy
2025-06-13,35.6,54.6,Partially cloudy
2025-06-14,36.6,47,Partially cloudy
2025-06-15,34.6,59.2,Partially cloudy
2025-06-16,33.8,61,Partially cloudy
2025-06-17,32.4,67.7,Partially cloudy
2025-06-18,31.2,71.2,"Rain, Partially cloudy"
2025-06-19,29.5,82.8,"Rain, Partially cloudy"
2025-06-20,27.8,93.2,"Rain, Overcast"
2025-06-21,29,92,"Rain, Overcast"
2025-06-22,31.1,79.5,"Rain, Partially cloudy"
2025-06-23,30,87,"Rain, Partially cloudy"
2025-06-24,30.2,87.6,"Rain, Partially cloudy"
2025-06-25,30,84.2,"Rain, Partially cloudy"
2025-06-26,31.2,74.2,Partially cloudy
2025-06-27,30.8,78.7,Partially cloudy
2025-06-28,31.7,73.4,Partially cloudy
2025-06-29,30.2,83.8,"Rain, Partially cloudy"
2025-06-30,30.6,80.4,"Rain, Partially cloudy"
2025-07-01,29.6,88,"Rain, Partially cloudy"
2025-07-02,30.1,86.2,"Rain, Partially cloudy"
2025-07-03,30.3,82.9,"Rain, Partially cloudy"
2025-07-04,30.8,80.7,"Rain, Partially cloudy"
2025-07-05,30.3,81.9,"Rain, Partially cloudy"
2025-07-06,31,76,Partially cloudy
2025-07-07,31.9,69.6,Partially cloudy
2025-07-08,32.2,66.4,Partially cloudy
2025-07-09,30.3,73.3,"Rain, Partially cloudy"
2025-07-10,28,87.6,"Rain, Partially cloudy"
2025-07-11,30.4,77.9,Partially cloudy
2025-07-12,32.1,72.4,"Rain, Partially cloudy"
2025-07-13,32,72.9,Partially cloudy
2025-07-14,29.8,83.6,"Rain, Partially cloudy"
2025-07-15,28.4,91.5,"Rain, Partially cloudy"
2025-07-16,27.4,97.7,"Rain, Overcast"
2025-07-17,28.8,90.8,"Rain, Overcast"
2025-07-18,30.8,80.8,"Rain, Partially cloudy"
2025-07-19,32.7,73.9,Partially cloudy
